InventoryID,Glottocode,Dialect,LanguageName,BibTexKey,Filename,Contributor,MetadataComments,PhoibleID
79,stan1295,,German,wiese1996german,,Elad Eisen,,
80,gran1245,,Grangali,"bashir2007dardic, grjunberg1971grangali_zemiaki",,Dmitry Nikolaev,,
81,gras1249,,Grass Koiari,dutton2003koiari,,Einav Levanon,,
83,guer1243,,Guerrero Amuzgo,steward2000guerreroamuzgo,,Eitan Grossman,,
86,hert1241,hert1242,Hértevin Proper,jastrow1988hertevin,,KurdistanDB,,
87,karb1241,,Hills Karbi,konnerth2014karbi,,Linda Konnerth,,
89,hueh1236,,Huehuetla Tepehua,kung2007tepehua,,Eitan Grossman,,
90,hung1274,,Hungarian,"Kalman1972,Banhidi_etal1965,Hall1938,Hall1944",hun_SPA1979_phon.pdf,Steven Moran,,183
91,hupa1239,,Hupa,"Golla1970,Woodward1964",hup_SPA1979_phon.pdf,Steven Moran,,65
92,igna1246,,Ignaciano,OttOtt1967,ign_SPA1979_phon.pdf,Steven Moran,,111
93,iris1253,,Irish,"Fhailigh1968,Florence1970",gle_SPA1979_phon.pdf,Steven Moran,,156
94,itza1241,,Itzá,hofling2000itzajmaya,,Elad Eisen,,
95,jams1239,,Jamsay Dogon,heath2008jamsay,heath2008jamsay.pdf,Eitan Grossman,,
96,nucl1643,,Japanese,labrune2012japanese,,Elad Eisen,,
97,jauj1238,,Jauja Wanca Quechua,wroughton1996jaujaquechua,,Rammie Cahlon,,
98,assy1241,jilu1238,Jilu,fox1997jilu,,KurdistanDB,,
99,kaba1278,,Kabardian,Kuipers1960,kbd_SPA1979_phon.pdf,Steven Moran,,4
100,kaby1243,,Kabyle,kossmann2013kabyle,,Elad Eisen,,
101,kala1399,,Kalaallisut,fortescue1984kalallisuut,,Eitan Grossman,,
102,kala1373,kala1374,Kalam (Pakistan),"bashir2007dardic, baart1995kalam, baart1997kalam",,Dmitry Nikolaev,,
103,kaur1271,,Kaure-Narau,auri1991kaure,,Einav Levanon,,
104,kawa1283,,Kawaiisu,zigmond1990kawaiisu,,Eitan Grossman,,
105,kaza1248,,Kazakh,"kirchner1998kazakhkarakalpak, mccollum2018kazakh",,Chingduang Yurayong,,
106,khan1273,nort2672,Kazym Khanty,kaksin2007kazym_khanty,,Dmitry Nikolaev,,
107,khan1273,,Kazym-Berezover-Suryskarer Khanty,"Gulya1966,Steinitz1950,Katz1975",kca_SPA1979_phon.pdf,Steven Moran,,184
108,kend1254,,Kendayan,adelaar2005salako,,Einav Levanon,,
109,kham1281,,Khamnigan Mongol,janhunen2003khamniganmongol,,Eitan Grossman,,
110,sout2994,khit1238,Khithaulhu,lowe1999nambiquara,,Eitan Grossman,,
111,khva1239,,Khwarshi-Inkhoqwari,khalilova2009khwarshi,,NA,,
112,nort3142,,Anatolian Arabic,jastrow2006anatolianarabic,,KurdistanDB,,
113,kipu1237,,Kiput,blust2003short,,Einav Levanon,,
114,doro1266,koki1244,Koki,bradshaw2012koki,bradshaw2012koki,Einav Levanon,,
115,kome1238,,Komering,abdurrahman1979komering,,Einav Levanon,,
116,komi1269,,Komi-Permyak,majshev1940komi_permjak,,Dmitry Nikolaev,,
117,komi1277,,Komi-Yazva,lytkin1961komi_yazva,,Dmitry Nikolaev,,
118,komi1268,,Komi-Zyrian,lytkin1955komi,,Dmitry Nikolaev,,
119,kona1242,,Konai,aarsjo2016konai,,Einav Levanon,,
120,kora1294,kora1295,Korafe,farr1974korafe,,Einav Levanon,,
122,lish1245,koys1241,Koy Sanjaq Neo-Aramaic,mutzafi2004koysanjaq,,KurdistanDB,,
123,koyr1240,,Koyra Chiini Songhay,heath1999koyrachiini,,Eitan Grossman,,
125,culi1244,,Culina,dienst2014kulina,,Rammie Cahlon,,
126,kuru1302,,Kurukh,"Pinnow1964,Pfeiffer1972,Grignard1924",kru_SPA1979_phon.pdf,Steven Moran,,7
127,kute1249,,Kutenai,morgan1991kutenai,,Eitan Grossman,,
128,lahu1253,,Lahu,Matisoff1973,lhu_SPA1979_phon.pdf,Steven Moran,,23
129,lavu1241,,Lavukaleve,terrill2011lavukaleve,,Eitan Grossman,,
130,lith1251,,Lithuanian,balode2001lithuanian,,Dmitry Nikolaev,,
131,logb1245,,Logba,dorvlo2008logba,,NA,,
132,louu1245,,Lou,blust1998lou,,Einav Levanon,,
133,luok1236,,Luo (Kenya and Tanzania),Gregersen1961,luo_SPA1979_phon.pdf,Steven Moran,,153
134,nucl1460,,Madurese,davies2010madurese,,Einav Levanon,,
135,maka1316,maka1317,Makasai,correia2011makasae,,Einav Levanon,,
136,maka1316,makl1245,Maklere,huber2011makalero,,NA,,
137,mamm1241,,Mam,england1983mam,,NA,,
138,mamb1294,,Mambai,anonby2011mambay,,Elad Eisen,,
139,mana1298,,Manambu,aikhenvald2010manambu,,NA,,
140,payn1244,,Manat,daniels2015sogeram,,Einav Levanon,,
141,nucl1706,,Mandaic,haeberl2015neomandaic,,KurdistanDB,,
142,mang1381,,Mangarrayi,merlan1989mangarayi,,NA,,
143,mapu1245,,Mapudungun,adelaar2004andes,,Eitan Grossman,,
144,marg1265,,Marghi Central,Hoffmann1963,mrt_SPA1979_phon.pdf,Steven Moran,,126
145,mauw1238,,Mauwake,berghall2015mauwake,,Einav Levanon,,
