"InventoryID","BorrowingLanguageGlottocode","BorrowedSound","SourceLanguageGlottocode","OnlyInLoanwords","Result","NewDistinction","PhonemeComments","Verified","Glottocode","LanguageName","BibTexKey","Filename","Contributor","MetadataComments","PhoibleID","ClosestNeighbor","family_id","parent_id","name","bookkeeping","level","status","latitude","longitude","iso639P3code","description","markup_description","child_family_count","child_language_count","child_dialect_count","country_ids","glottocode","isocodes","macroarea"
273,"hind1269","z","fars1254","yes","to be checked","to be checked","(loan)","NA","hind1269","Hindi","Kelkar1968,VermeerSharma1966,Pinnow1953,Srivastava1969","hin_SPA1979_phon.pdf","Steven Moran","NA","176","NA","indo1319","hind1270","Hindi","False","language","safe",25,77,"hin",NA,NA,0,0,4,"BD BT IN NP","hind1269","hin","Eurasia"
273,"hind1269","zː","unknown","yes","to be checked","to be checked","(loan)","NA","hind1269","Hindi","Kelkar1968,VermeerSharma1966,Pinnow1953,Srivastava1969","hin_SPA1979_phon.pdf","Steven Moran","NA","176","NA","indo1319","hind1270","Hindi","False","language","safe",25,77,"hin",NA,NA,0,0,4,"BD BT IN NP","hind1269","hin","Eurasia"
273,"hind1269","ʒ","unknown","yes","to be checked","to be checked","(loan)","NA","hind1269","Hindi","Kelkar1968,VermeerSharma1966,Pinnow1953,Srivastava1969","hin_SPA1979_phon.pdf","Steven Moran","NA","176","NA","indo1319","hind1270","Hindi","False","language","safe",25,77,"hin",NA,NA,0,0,4,"BD BT IN NP","hind1269","hin","Eurasia"
273,"hind1269","ʔ","unknown","yes","to be checked","to be checked","(loan)","NA","hind1269","Hindi","Kelkar1968,VermeerSharma1966,Pinnow1953,Srivastava1969","hin_SPA1979_phon.pdf","Steven Moran","NA","176","NA","indo1319","hind1270","Hindi","False","language","safe",25,77,"hin",NA,NA,0,0,4,"BD BT IN NP","hind1269","hin","Eurasia"
273,"hind1269","χ","unknown","yes","to be checked","to be checked","(loan)","NA","hind1269","Hindi","Kelkar1968,VermeerSharma1966,Pinnow1953,Srivastava1969","hin_SPA1979_phon.pdf","Steven Moran","NA","176","NA","indo1319","hind1270","Hindi","False","language","safe",25,77,"hin",NA,NA,0,0,4,"BD BT IN NP","hind1269","hin","Eurasia"
274,"komi1268","v","unknown","yes","to be checked","to be checked","(loan)","NA","komi1268","Komi-Zyrian","Lytkin1966,Bubrich1949","kpv_SPA1979_phon.pdf","Steven Moran","NA","182","NA","ural1272","komi1267","Komi-Zyrian","False","language","critically endangered",64.0527,54.946,"kpv",NA,NA,0,0,0,"RU","komi1268","kpv","Eurasia"
275,"lith1251","ts","unknown","yes","to be checked","to be checked","(loan)","NA","lith1251","Lithuanian","Senn1966,Augustitis1964,Ambrazas_etal1966","lit_SPA1979_phon.pdf","Steven Moran","NA","168","NA","indo1319","east2280","Lithuanian","False","language","safe",55.1429,23.9601,"lit",NA,NA,0,0,9,"BY LT LV PL RU","lith1251","lit","Eurasia"
275,"lith1251","tsʲ","unknown","unknown","to be checked","to be checked","(loan,limited)","NA","lith1251","Lithuanian","Senn1966,Augustitis1964,Ambrazas_etal1966","lit_SPA1979_phon.pdf","Steven Moran","NA","168","NA","indo1319","east2280","Lithuanian","False","language","safe",55.1429,23.9601,"lit",NA,NA,0,0,9,"BY LT LV PL RU","lith1251","lit","Eurasia"
276,"aleu1260","r","unknown","yes","to be checked","to be checked","(loan)","NA","aleu1260","Aleut","Bergsland1956,Bergsland1959,Menovshchikov1968,Jakobson1944","ale_SPA1979_phon.pdf","Steven Moran","NA","61","NA","eski1264","eski1264","Aleut","False","language","definitely endangered",52.1228,-174.29,"ale",NA,NA,0,0,2,"RU US","aleu1260","ale","North America"
276,"aleu1260","β","unknown","yes","to be checked","to be checked","(loan)","NA","aleu1260","Aleut","Bergsland1956,Bergsland1959,Menovshchikov1968,Jakobson1944","ale_SPA1979_phon.pdf","Steven Moran","NA","61","NA","eski1264","eski1264","Aleut","False","language","definitely endangered",52.1228,-174.29,"ale",NA,NA,0,0,2,"RU US","aleu1260","ale","North America"
277,"mapu1245","b","stan1288","yes","other distributional change","no","NA","NA","mapu1245","Mapudungun","smeets2008mapudungun","NA","Rammie Cahlon","NA","NA","NA","arau1255","arau1255","Mapudungun","False","language","definitely endangered",-38.7392,-71.277,"arn",NA,NA,0,0,3,"AR CL","mapu1245","arn","South America"
277,"mapu1245","d","stan1288","yes","other distributional change","no","NA","NA","mapu1245","Mapudungun","smeets2008mapudungun","NA","Rammie Cahlon","NA","NA","NA","arau1255","arau1255","Mapudungun","False","language","definitely endangered",-38.7392,-71.277,"arn",NA,NA,0,0,3,"AR CL","mapu1245","arn","South America"
277,"mapu1245","ð","stan1288","yes","phonologization of allophone","no","Varies freely with native /s/ in native words; common with Spanish loans","NA","mapu1245","Mapudungun","smeets2008mapudungun","NA","Rammie Cahlon","NA","NA","NA","arau1255","arau1255","Mapudungun","False","language","definitely endangered",-38.7392,-71.277,"arn",NA,NA,0,0,3,"AR CL","mapu1245","arn","South America"
277,"mapu1245","ɡ","stan1288","yes","other distributional change","no","NA","NA","mapu1245","Mapudungun","smeets2008mapudungun","NA","Rammie Cahlon","NA","NA","NA","arau1255","arau1255","Mapudungun","False","language","definitely endangered",-38.7392,-71.277,"arn",NA,NA,0,0,3,"AR CL","mapu1245","arn","South America"
277,"mapu1245","x","stan1288","yes","other distributional change","no","NA","NA","mapu1245","Mapudungun","smeets2008mapudungun","NA","Rammie Cahlon","NA","NA","NA","arau1255","arau1255","Mapudungun","False","language","definitely endangered",-38.7392,-71.277,"arn",NA,NA,0,0,3,"AR CL","mapu1245","arn","South America"
278,"mapu1245","s","unknown","yes","to be checked","to be checked","(loan)","NA","mapu1245","Mapudungun","EcheverriaContreras1965","arn_SPA1979_phon.pdf","Steven Moran","NA","106","NA","arau1255","arau1255","Mapudungun","False","language","definitely endangered",-38.7392,-71.277,"arn",NA,NA,0,0,3,"AR CL","mapu1245","arn","South America"
279,"sanm1295","r","stan1288","yes","to be checked","to be checked","(loan)","NA","sanm1295","San Miguel El Grande Mixtec","HunterPike1969","mig_SPA1979_phon.pdf","Steven Moran","NA","100","NA","otom1299","west2824","San Miguel El Grande Mixtec","False","language","vulnerable",17.0777,-97.5432,"mig",NA,NA,0,0,4,"MX","sanm1295","mig","North America"
281,"hebr1245","ŋ","unknown","unknown","to be checked","to be checked","(allo,loan)","NA","hebr1245","Modern Hebrew","Chayen1973,CohenZafrani1968","heb_SPA1979_phon.pdf","Steven Moran","NA","135","NA","afro1255","hebr1246","Modern Hebrew","False","language","safe",31.1056,35.0179,"heb",NA,NA,0,0,2,"IL JO LB PS SY","hebr1245","heb","Eurasia"
283,"taga1270","aː","unknown","unknown","to be checked","to be checked","(surface,loan)","NA","taga1270","Tagalog","SchachterOtanes1972,Bloomfield1917","tgl_SPA1979_phon.pdf","Steven Moran","NA","37","NA","aust1307","taga1269","Tagalog","False","language","safe",14.06,121.747,"tgl",NA,NA,0,0,8,"PH","taga1270","tgl","Papunesia"
283,"taga1270","eː","unknown","unknown","to be checked","to be checked","(loan,surface)","NA","taga1270","Tagalog","SchachterOtanes1972,Bloomfield1917","tgl_SPA1979_phon.pdf","Steven Moran","NA","37","NA","aust1307","taga1269","Tagalog","False","language","safe",14.06,121.747,"tgl",NA,NA,0,0,8,"PH","taga1270","tgl","Papunesia"
283,"taga1270","iː","unknown","unknown","to be checked","to be checked","(loan,surface)","NA","taga1270","Tagalog","SchachterOtanes1972,Bloomfield1917","tgl_SPA1979_phon.pdf","Steven Moran","NA","37","NA","aust1307","taga1269","Tagalog","False","language","safe",14.06,121.747,"tgl",NA,NA,0,0,8,"PH","taga1270","tgl","Papunesia"
283,"taga1270","oː","unknown","unknown","to be checked","to be checked","(surface,loan)","NA","taga1270","Tagalog","SchachterOtanes1972,Bloomfield1917","tgl_SPA1979_phon.pdf","Steven Moran","NA","37","NA","aust1307","taga1269","Tagalog","False","language","safe",14.06,121.747,"tgl",NA,NA,0,0,8,"PH","taga1270","tgl","Papunesia"
283,"taga1270","ɾ","unknown","unknown","to be checked","to be checked","(loan,surface)","NA","taga1270","Tagalog","SchachterOtanes1972,Bloomfield1917","tgl_SPA1979_phon.pdf","Steven Moran","NA","37","NA","aust1307","taga1269","Tagalog","False","language","safe",14.06,121.747,"tgl",NA,NA,0,0,8,"PH","taga1270","tgl","Papunesia"
283,"taga1270","uː","unknown","unknown","to be checked","to be checked","(surface,loan)","NA","taga1270","Tagalog","SchachterOtanes1972,Bloomfield1917","tgl_SPA1979_phon.pdf","Steven Moran","NA","37","NA","aust1307","taga1269","Tagalog","False","language","safe",14.06,121.747,"tgl",NA,NA,0,0,8,"PH","taga1270","tgl","Papunesia"
284,"nucl1301","cʰ","unknown","unknown","to be checked","to be checked","(loan,allo)","NA","nucl1301","Turkish","Swift1963,Lees1961,Underhill1976","tur_SPA1979_phon.pdf","Steven Moran","NA","186","NA","turk1311","west2406","Turkish","False","language","safe",39.8667,32.8667,"tur",NA,NA,0,0,10,"AL AM AZ BG CY GE GR IQ IR MK SY TR","nucl1301","tur","Eurasia"
284,"nucl1301","ɟ","unknown","unknown","to be checked","to be checked","(loan,allo)","NA","nucl1301","Turkish","Swift1963,Lees1961,Underhill1976","tur_SPA1979_phon.pdf","Steven Moran","NA","186","NA","turk1311","west2406","Turkish","False","language","safe",39.8667,32.8667,"tur",NA,NA,0,0,10,"AL AM AZ BG CY GE GR IQ IR MK SY TR","nucl1301","tur","Eurasia"
284,"nucl1301","ʎ","unknown","unknown","to be checked","to be checked","(loan,allo)","NA","nucl1301","Turkish","Swift1963,Lees1961,Underhill1976","tur_SPA1979_phon.pdf","Steven Moran","NA","186","NA","turk1311","west2406","Turkish","False","language","safe",39.8667,32.8667,"tur",NA,NA,0,0,10,"AL AM AZ BG CY GE GR IQ IR MK SY TR","nucl1301","tur","Eurasia"
284,"nucl1301","ʔ","unknown","unknown","to be checked","to be checked","(loan,transitional)","NA","nucl1301","Turkish","Swift1963,Lees1961,Underhill1976","tur_SPA1979_phon.pdf","Steven Moran","NA","186","NA","turk1311","west2406","Turkish","False","language","safe",39.8667,32.8667,"tur",NA,NA,0,0,10,"AL AM AZ BG CY GE GR IQ IR MK SY TR","nucl1301","tur","Eurasia"
285,"assa1263","dz","stan1293, hind1269","yes","new phoneme","affricate","[dz] and also [ ] are used exclusively in loan words from English and Hindi and do not belong to the ‘native’ sound system of Assamese.","NA","assa1263","Assamese","mahanta2012assamese","NA","Eitan Grossman","NA","NA","NA","indo1319","assa1262","Assamese","False","language","safe",26.0876,91.2932,"asm",NA,NA,0,0,4,"BD BT IN","assa1263","asm","Eurasia"
285,"assa1263","f","stan1293, hind1269","yes","new phoneme","no","Sometimes, consonants apparently not native to Assamese but used in loan words from English and Hindi also surface, like [f] and [S] among others, in words such as fan and shwal. This is also optional and borrowed words may assimilate to the native system in such a way that fan and shwal may be realized as [p En] and [sAl] respectively.","NA","assa1263","Assamese","mahanta2012assamese","NA","Eitan Grossman","NA","NA","NA","indo1319","assa1262","Assamese","False","language","safe",26.0876,91.2932,"asm",NA,NA,0,0,4,"BD BT IN","assa1263","asm","Eurasia"
285,"assa1263","ɹ̤","sans1269","yes","new phoneme","no","a Sanskrit remnant and occurs only in a select few words in the careful speech of educated people","NA","assa1263","Assamese","mahanta2012assamese","NA","Eitan Grossman","NA","NA","NA","indo1319","assa1262","Assamese","False","language","safe",26.0876,91.2932,"asm",NA,NA,0,0,4,"BD BT IN","assa1263","asm","Eurasia"
285,"assa1263","ʃ","stan1293, hind1269","yes","new phoneme","postalveolar","Sometimes, consonants apparently not native to Assamese but used in loan words from English and Hindi also surface, like [f] and [S] among others, in words such as fan and shwal. This is also optional and borrowed words may assimilate to the native system in such a way that fan and shwal may be realized as [p En] and [sAl] respectively.","NA","assa1263","Assamese","mahanta2012assamese","NA","Eitan Grossman","NA","NA","NA","indo1319","assa1262","Assamese","False","language","safe",26.0876,91.2932,"asm",NA,NA,0,0,4,"BD BT IN","assa1263","asm","Eurasia"
285,"assa1263","t̠ʃ","stan1293, hind1269","yes","new phoneme","affricate","[dz] and also [ ] are used exclusively in loan words from English and Hindi and do not belong to the ‘native’ sound system of Assamese.","NA","assa1263","Assamese","mahanta2012assamese","NA","Eitan Grossman","NA","NA","NA","indo1319","assa1262","Assamese","False","language","safe",26.0876,91.2932,"asm",NA,NA,0,0,4,"BD BT IN","assa1263","asm","Eurasia"
286,"kwaz1243","b","macr1272","yes","new phoneme","voicing","NA","NA","kwaz1243","Kwaza","vandervoort2004kwaza","NA","Konstantin Filatov","NA","NA","NA","","","Kwaza","False","language","severely endangered",-11.6667,-61.1833,"xwa",NA,NA,0,0,0,"BR","kwaz1243","xwa","South America"
286,"kwaz1243","d","macr1272","yes","new phoneme","voicing","NA","NA","kwaz1243","Kwaza","vandervoort2004kwaza","NA","Konstantin Filatov","NA","NA","NA","","","Kwaza","False","language","severely endangered",-11.6667,-61.1833,"xwa",NA,NA,0,0,0,"BR","kwaz1243","xwa","South America"
286,"kwaz1243","ð","aika1237","unknown","to be checked","to be checked","NA","NA","kwaz1243","Kwaza","vandervoort2004kwaza","NA","Konstantin Filatov","NA","NA","NA","","","Kwaza","False","language","severely endangered",-11.6667,-61.1833,"xwa",NA,NA,0,0,0,"BR","kwaz1243","xwa","South America"
286,"kwaz1243","f","macr1272","yes","new phoneme","labiodental","It is often rendered as [p], especially by the older people and the younger children","NA","kwaz1243","Kwaza","vandervoort2004kwaza","NA","Konstantin Filatov","NA","NA","NA","","","Kwaza","False","language","severely endangered",-11.6667,-61.1833,"xwa",NA,NA,0,0,0,"BR","kwaz1243","xwa","South America"
286,"kwaz1243","ɡ","unknown","unknown","new phoneme","to be checked","It is often replaced by [k] in loanwords from Portuguese","NA","kwaz1243","Kwaza","vandervoort2004kwaza","NA","Konstantin Filatov","NA","NA","NA","","","Kwaza","False","language","severely endangered",-11.6667,-61.1833,"xwa",NA,NA,0,0,0,"BR","kwaz1243","xwa","South America"
286,"kwaz1243","ŋ","macr1272","yes","new phoneme","to be checked","NA","NA","kwaz1243","Kwaza","vandervoort2004kwaza","NA","Konstantin Filatov","NA","NA","NA","","","Kwaza","False","language","severely endangered",-11.6667,-61.1833,"xwa",NA,NA,0,0,0,"BR","kwaz1243","xwa","South America"
286,"kwaz1243","v","macr1272","unknown","new phoneme","labiodental","NA","NA","kwaz1243","Kwaza","vandervoort2004kwaza","NA","Konstantin Filatov","NA","NA","NA","","","Kwaza","False","language","severely endangered",-11.6667,-61.1833,"xwa",NA,NA,0,0,0,"BR","kwaz1243","xwa","South America"
286,"kwaz1243","y","aika1237","yes","new phoneme","to be checked","NA","NA","kwaz1243","Kwaza","vandervoort2004kwaza","NA","Konstantin Filatov","NA","NA","NA","","","Kwaza","False","language","severely endangered",-11.6667,-61.1833,"xwa",NA,NA,0,0,0,"BR","kwaz1243","xwa","South America"
