"InventoryID","BorrowingLanguageGlottocode","BorrowedSound","SourceLanguageGlottocode","OnlyInLoanwords","Result","NewDistinction","PhonemeComments","Verified","Glottocode","LanguageName","BibTexKey","Filename","Contributor","MetadataComments","PhoibleID","ClosestNeighbor"
14,"arbe1239","dˤ","unknown","yes","to be checked","to be checked",NA,NA,"arbe1239","Arbel","khan1999arbel",NA,"KurdistanDB",NA,NA,NA
14,"arbe1239","f","unknown","yes","to be checked","to be checked",NA,NA,"arbe1239","Arbel","khan1999arbel",NA,"KurdistanDB",NA,NA,NA
14,"arbe1239","zˤ","unknown","yes","to be checked","to be checked",NA,NA,"arbe1239","Arbel","khan1999arbel",NA,"KurdistanDB",NA,NA,NA
14,"arbe1239","ʒ","unknown","yes","to be checked","to be checked",NA,NA,"arbe1239","Arbel","khan1999arbel",NA,"KurdistanDB",NA,NA,NA
15,"stan1288","d̠ʒ","ital1282","yes","to be checked","to be checked",NA,NA,"stan1288","Argentinian Spanish","honsa1965argentinianspanish",NA,"Elad Eisen","glottocode is for Standard Spanish",NA,NA
15,"stan1288","ʎ","stan1288","yes","to be checked","to be checked",NA,NA,"stan1288","Argentinian Spanish","honsa1965argentinianspanish",NA,"Elad Eisen","glottocode is for Standard Spanish",NA,NA
15,"stan1288","z","stan1290","yes","to be checked","to be checked","imperfect borrowing of /ʒ/",NA,"stan1288","Argentinian Spanish","honsa1965argentinianspanish",NA,"Elad Eisen","glottocode is for Standard Spanish",NA,NA
16,"asil1242","b","ambo1250, indo1316","yes","new phoneme","voicing","voicing may not be distinctive in native phonology",NA,"asil1242","Asilulu","collins2003asilulu",NA,"Einav Levanon",NA,NA,NA
16,"asil1242","d","ambo1250, indo1316","yes","new phoneme","voicing","voicing may not be distinctive in native phonology",NA,"asil1242","Asilulu","collins2003asilulu",NA,"Einav Levanon",NA,NA,NA
16,"asil1242","d̠ʒ","ambo1250, indo1316","yes","new phoneme","affricate",NA,NA,"asil1242","Asilulu","collins2003asilulu",NA,"Einav Levanon",NA,NA,NA
16,"asil1242","ɡ","ambo1250, indo1316","yes","new phoneme","voicing","voicing may not be distinctive in native phonology",NA,"asil1242","Asilulu","collins2003asilulu",NA,"Einav Levanon",NA,NA,NA
16,"asil1242","ŋ","ambo1250, indo1316","yes","new phoneme","no",NA,NA,"asil1242","Asilulu","collins2003asilulu",NA,"Einav Levanon",NA,NA,NA
16,"asil1242","t̠ʃ","ambo1250, indo1316","yes","new phoneme","affricate",NA,NA,"asil1242","Asilulu","collins2003asilulu",NA,"Einav Levanon",NA,NA,NA
17,"awiy1238","t","unknown","unknown","to be checked","to be checked","(free,loan) spaAllophoneDescription: [s]",NA,"awiy1238","Awiyaana","Bees1965","auy_SPA1979_phon.pdf","Steven Moran",NA,57,NA
18,"bafu1246","r","stan1293","no","to be checked","to be checked","restricted distribution as an allophone of /l/ intervocally. Few words containing [r] are attested in the speech of a few educated speakers. These, I think, are words that are not yet fully integrated into the sound system of the language. In most words, /r/ in loanwords appears as [l]. does [r] occur in the relevant english variety? Source language uncertain",NA,"bafu1246","Bafut","tamanji2009bafut",NA,"Elad Eisen",NA,NA,NA
19,"bamb1262","t̠ʃʼ","egyp1254","yes","new phoneme","to be checked","no other affricates.",NA,"bamb1262","Bambassi","ahland2009bambassi",NA,"Eitan Grossman",NA,NA,NA
20,"bash1264","e","unknown","yes","other distributional change","unknown",NA,NA,"bash1264","Bashkir","poppe1964bashkir",NA,"Dmitry Nikolaev",NA,NA,NA
20,"bash1264","f","unknown","yes","new phoneme","unknown",NA,NA,"bash1264","Bashkir","poppe1964bashkir",NA,"Dmitry Nikolaev",NA,NA,NA
20,"bash1264","ɔ","unknown","yes","other distributional change","unknown",NA,NA,"bash1264","Bashkir","poppe1964bashkir",NA,"Dmitry Nikolaev",NA,NA,NA
20,"bash1264","ts","unknown","yes","other distributional change","unknown",NA,NA,"bash1264","Bashkir","poppe1964bashkir",NA,"Dmitry Nikolaev",NA,NA,NA
20,"bash1264","t̠ʃ","unknown","yes","other distributional change","unknown",NA,NA,"bash1264","Bashkir","poppe1964bashkir",NA,"Dmitry Nikolaev",NA,NA,NA
20,"bash1264","v","unknown","yes","other distributional change","unknown",NA,NA,"bash1264","Bashkir","poppe1964bashkir",NA,"Dmitry Nikolaev",NA,NA,NA
20,"bash1264","z","unknown","yes","other distributional change","unknown",NA,NA,"bash1264","Bashkir","poppe1964bashkir",NA,"Dmitry Nikolaev",NA,NA,NA
20,"bash1264","ʒ","unknown","yes","other distributional change","unknown",NA,NA,"bash1264","Bashkir","poppe1964bashkir",NA,"Dmitry Nikolaev",NA,NA,NA
21,"basq1248","χ","unknown","yes","to be checked","to be checked","(loan)",NA,"basq1248","Basque","Ndiaye1970,Gavel1929","eus_SPA1979_phon.pdf","Steven Moran",NA,179,NA
22,"bazz1238","f","unknown","yes","to be checked","to be checked",NA,NA,"bazz1238","Baz","mutzafi2000maha_khtaya",NA,"KurdistanDB",NA,NA,NA
22,"bazz1238","v","unknown","yes","to be checked","to be checked",NA,NA,"bazz1238","Baz","mutzafi2000maha_khtaya",NA,"KurdistanDB",NA,NA,NA
23,"bela1254","f","russ1263","yes","new phoneme","unknown",NA,NA,"bela1254","Belarusian","mayo1993belorussian",NA,"Dmitry Nikolaev",NA,NA,NA
23,"bela1254","fʲ","russ1263","yes","new phoneme","unknown",NA,NA,"bela1254","Belarusian","mayo1993belorussian",NA,"Dmitry Nikolaev",NA,NA,NA
24,"beng1280","s","unknown","unknown","to be checked","to be checked","(allo,restricted,loan)",NA,"beng1280","Bengali","FergusonChowdhury1960","ben_SPA1979_phon.pdf","Steven Moran",NA,177,NA
25,"beta1257","bˤ","unknown","yes","to be checked","to be checked",NA,NA,"beta1257","Bétanure","mutzafi2008betanure",NA,"KurdistanDB",NA,NA,NA
25,"beta1257","d̠ʒ","unknown","yes","to be checked","to be checked",NA,NA,"beta1257","Bétanure","mutzafi2008betanure",NA,"KurdistanDB",NA,NA,NA
25,"beta1257","dˤ","unknown","yes","to be checked","to be checked",NA,NA,"beta1257","Bétanure","mutzafi2008betanure",NA,"KurdistanDB",NA,NA,NA
25,"beta1257","ðˤ","unknown","yes","to be checked","to be checked",NA,NA,"beta1257","Bétanure","mutzafi2008betanure",NA,"KurdistanDB",NA,NA,NA
25,"beta1257","f","unknown","yes","to be checked","to be checked",NA,NA,"beta1257","Bétanure","mutzafi2008betanure",NA,"KurdistanDB",NA,NA,NA
25,"beta1257","pˤ","unknown","yes","to be checked","to be checked",NA,NA,"beta1257","Bétanure","mutzafi2008betanure",NA,"KurdistanDB",NA,NA,NA
25,"beta1257","ʁ","unknown","yes","to be checked","to be checked",NA,NA,"beta1257","Bétanure","mutzafi2008betanure",NA,"KurdistanDB",NA,NA,NA
25,"beta1257","t̠ʃ","unknown","yes","to be checked","to be checked",NA,NA,"beta1257","Bétanure","mutzafi2008betanure",NA,"KurdistanDB",NA,NA,NA
25,"beta1257","v","unknown","yes","to be checked","to be checked",NA,NA,"beta1257","Bétanure","mutzafi2008betanure",NA,"KurdistanDB",NA,NA,NA
25,"beta1257","zˤ","unknown","yes","to be checked","to be checked",NA,NA,"beta1257","Bétanure","mutzafi2008betanure",NA,"KurdistanDB",NA,NA,NA
25,"beta1257","ʒ","unknown","yes","to be checked","to be checked",NA,NA,"beta1257","Bétanure","mutzafi2008betanure",NA,"KurdistanDB",NA,NA,NA
26,"bett1235","d","unknown","yes","other distributional change","unknown",NA,NA,"bett1235","Betta Kurumba","coelho2003bettakurumba",NA,"Dmitry Nikolaev",NA,NA,NA
26,"bett1235","f","unknown","yes","other distributional change","unknown",NA,NA,"bett1235","Betta Kurumba","coelho2003bettakurumba",NA,"Dmitry Nikolaev",NA,NA,NA
27,"biak1248","l","indo1316","no","to be checked","to be checked","In loanwords, but also as a variant of /r/ for special pragmatic effects in contexts of playing games or allusions to sexual intercourse",NA,"biak1248","Biak","heuvel2006biak",NA,"Elad Eisen",NA,NA,NA
27,"biak1248","t","unknown","no","to be checked","to be checked","Very infrequent, occurs mostly in loanwords. Some elder speakers accommodate loanword [t] as [s]. Younger generations are fluent in Indonesian which has /t/.",NA,"biak1248","Biak","heuvel2006biak",NA,"Elad Eisen",NA,NA,NA
28,"bier1244","f","bisl1239","yes","new phoneme","labiodental",NA,NA,"bier1244","Bierebo","budd2010bierebo",NA,"Einav Levanon",NA,NA,NA
28,"bier1244","h","bisl1239","yes","new phoneme","glottal",NA,NA,"bier1244","Bierebo","budd2010bierebo",NA,"Einav Levanon",NA,NA,NA
28,"bier1244","v","bisl1239","yes","new phoneme","labiodental",NA,NA,"bier1244","Bierebo","budd2010bierebo",NA,"Einav Levanon",NA,NA,NA
29,"boht1238","f","kurd1259, arab1395","yes","to be checked","to be checked",NA,NA,"boht1238","Bohtan Neo-Aramaic","fox2009bohtan",NA,"KurdistanDB",NA,NA,NA
29,"boht1238","k","kurd1259","yes","phonologization of allophone","to be checked","unaspirated k is found only in Kurdish loanwords, but the /k/ phoneme also shows a lot of variation, and an unaspirated [k] is one of its realizations",NA,"boht1238","Bohtan Neo-Aramaic","fox2009bohtan",NA,"KurdistanDB",NA,NA,NA
29,"boht1238","t̠ʃ","kurd1259","no","other distributional change","to be checked",NA,NA,"boht1238","Bohtan Neo-Aramaic","fox2009bohtan",NA,"KurdistanDB",NA,NA,NA
29,"boht1238","v","unknown","yes","to be checked","to be checked",NA,NA,"boht1238","Bohtan Neo-Aramaic","fox2009bohtan",NA,"KurdistanDB",NA,NA,NA
30,"bret1244","ɛ̃ː","unknown","yes","to be checked","to be checked","(loan)",NA,"bret1244","Breton","Ternes1970","bre_SPA1979_phon.pdf","Steven Moran",NA,157,NA
31,"bulg1262","dz","unknown","unknown","to be checked","to be checked","(limited,loan,allo)",NA,"bulg1262","Bulgarian","Aronson1968,Klagstad1958","bul_SPA1979_phon.pdf","Steven Moran",NA,167,NA
32,"nucl1310","r","pali1273","yes","new phoneme","unknown",NA,NA,"nucl1310","Burmese","wheatley2003burmese",NA,"Eitan Grossman",NA,NA,NA
33,"buru1296","f","unknown","unknown","to be checked","to be checked","(loan,free)",NA,"buru1296","Burushaski","Morgenstierne1945","bsk_SPA1979_phon.pdf","Steven Moran",NA,6,NA
33,"buru1296","χ","unknown","unknown","to be checked","to be checked","(loan,free)",NA,"buru1296","Burushaski","Morgenstierne1945","bsk_SPA1979_phon.pdf","Steven Moran",NA,6,NA
34,"cahu1264","f","stan1288","yes","to be checked","unknown",NA,NA,"cahu1264","Cahuilla","seiler1977cahuilla",NA,"David Ginebra",NA,NA,NA
35,"cast1244","ʃ","stan1293","yes","other distributional change","unknown",NA,NA,"cast1244","Castilian","martinez2003castilian, frias2001spanish",NA,"Dmitry Nikolaev",NA,NA,NA
36,"cent2142","r","stan1288","yes","new phoneme","trill",NA,NA,"cent2142","Central Aymara","hardman2001aymara",NA,"NA",NA,NA,NA
36,"cent2142","r̝","stan1288, quec1387","no","phonologization of allophone","trill","defined as 'voiced sibilant trill'. Appears also as an allophone of native /ɾ/ in the environment of /s/.",NA,"cent2142","Central Aymara","hardman2001aymara",NA,"NA",NA,NA,NA
37,"cent2050","x","unknown","yes","to be checked","to be checked","(loan)",NA,"cent2050","Central Kanuri","Lukas1937","knc_SPA1979_phon.pdf","Steven Moran",NA,150,NA
38,"azer1255","k","unknown","yes","to be checked","to be checked",NA,NA,"azer1255","Central Oghuz","schoenig2015azerbaijanian",NA,"KurdistanDB",NA,NA,NA
39,"lish1247","d̠ʒ","arab1395","yes","to be checked","to be checked",NA,NA,"lish1247","Challa Neo-Aramaic (Jewish NENA)","fassberg2010challa",NA,"KurdistanDB",NA,NA,NA
39,"lish1247","f","kurd1259, arab1395","yes","to be checked","to be checked",NA,NA,"lish1247","Challa Neo-Aramaic (Jewish NENA)","fassberg2010challa",NA,"KurdistanDB",NA,NA,NA
39,"lish1247","ħ","arab1395, hebr1246","yes","new phoneme","pharyngeal",NA,"Eitan Grossman","lish1247","Challa Neo-Aramaic (Jewish NENA)","fassberg2010challa",NA,"KurdistanDB",NA,NA,NA
39,"lish1247","ʁ","arab1395","yes","phonologization of allophone","to be checked",NA,NA,"lish1247","Challa Neo-Aramaic (Jewish NENA)","fassberg2010challa",NA,"KurdistanDB",NA,NA,NA
39,"lish1247","t̠ʃ","kurd1259, nucl1301","mostly","other distributional change","to be checked",NA,NA,"lish1247","Challa Neo-Aramaic (Jewish NENA)","fassberg2010challa",NA,"KurdistanDB",NA,NA,NA
